"date","post_url","doc_id","file","status"
"2018-09-16","https://vk.com/wall-141369129_462","3435682_475015648","Соревнование (итог)_3435682_475015648.xlsx","ok"
"2018-09-09","https://vk.com/wall-141369129_459","209668467_474713878","Протокол 9.09.18.docx","ok"
"2018-09-09","https://vk.com/wall-141369129_459","3435682_474325990","Соревнование (09.09.2018).xlsx","ok"
"2018-09-04","https://vk.com/wall-141369129_457","89582090_473638600","протокол 02.09.2018.docx","ok"
"2018-08-26","https://vk.com/wall-141369129_451","3435682_473028773","Протокол № 77 от 26 августа 2018 г.docx","ok"
"2018-08-26","https://vk.com/wall-141369129_451","3435682_473028775","Соревнование (26.08.2018).xlsx","ok"
"2018-08-23","https://vk.com/wall-141369129_450","89582090_472666551","положение 2 сентября.docx","ok"
"2018-08-19","https://vk.com/wall-141369129_449","3435682_472508397","Протокол № 76 от 19 августа 2018 г.docx","ok"
"2018-08-19","https://vk.com/wall-141369129_449","3435682_472508405","Соревнование (19.08.2018).xlsx","ok"
"2018-08-15","https://vk.com/wall-141369129_448","3435682_472215524","Соревнование (15.08.2018).xlsx","ok"
